Country,Country Code3,Sub-country,Sector,Month,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,
Bolivia,BOL,-,total,0,2.393298,2.604541,2.905984,3.07169,3.385167,3.98537,4.317512,4.629912,5.019312,4.978206,5.227716,5.683911,6.005855,6.120919,5.587488,5.494872,5.165284,5.452329,5.515276,6.024843,6.631517,6.754305,7.050961,7.45454,8.162106,9.171979,8.844175,9.069066,9.526466,8.972134,9.139232,8.835413,9.428514,10.038085,10.732501,11.375858,12.610074,13.8017,14.659944,15.551478,16.85888,17.956466,17.962068,19.623847,20.988602,21.316662,22.853096,23.483698,24.00837,23.894769,20.432942,23.87907,25.417014,26.445409,30.432731,,,,,,
Brazil,BRA,-,total,0,82.936298,88.000049,95.968201,113.07572,123.094426,131.927153,145.704923,150.270946,162.945363,173.122865,172.176377,160.859925,160.728881,151.00486,150.67822,158.973896,178.59493,183.213527,186.231499,188.556696,188.307662,195.957776,198.647755,205.926645,213.158481,231.362281,251.167816,269.126144,277.685656,287.350467,299.505476,306.000579,304.674026,297.031386,313.977596,315.544543,319.771359,336.472532,357.828613,334.102639,382.484411,401.441853,434.924011,465.247476,480.118245,456.027148,418.172939,429.777148,407.057824,404.563279,386.155622,438.497232,412.594119,414.022665,414.117461,,,,,,
Barbados,BRB,-,total,0,0.50787,0.56058,0.689107,0.647699,0.540815,0.646046,0.578171,0.619656,0.591065,0.551021,0.570327,0.574345,0.517893,0.473628,0.58088,0.597723,0.683829,0.72124,0.749837,0.811118,1.687578,2.032632,1.996355,1.890432,1.863288,1.943521,1.924202,1.972122,1.928992,2.174327,2.117492,1.978374,1.023629,1.18458,1.188867,1.343909,1.372044,1.373288,1.365708,1.328542,1.182298,1.444536,1.559185,1.611918,1.645885,1.62042,1.627413,0.843356,0.86702,0.873584,0.779267,0.82049,0.85456,0.890037,0.922597,,,,,,
Brunei Darussalam,BRN,-,total,0,0.443368,0.416105,0.404697,0.733273,1.224808,1.514487,1.992677,2.140576,2.013813,2.109969,2.824601,2.779767,2.895033,3.106725,3.136561,3.147025,3.140758,3.197503,3.34249,3.314805,3.476157,3.605996,3.812815,4.10806,4.400096,4.85094,5.155836,5.552355,4.701671,4.563912,4.842152,4.714431,4.768076,5.717846,5.373355,5.281185,7.856225,7.415978,7.834064,8.049658,7.457028,7.619711,7.586569,7.472424,7.249652,6.457639,6.937075,7.271705,7.757752,7.163562,9.512045,9.579245,9.370869,9.68318,9.286074,,,,,,
Bhutan,BTN,-,total,0,0.038722,0.034438,0.036928,0.048136,0.061883,0.058772,0.057326,0.064935,0.057854,0.062544,0.062707,0.069746,0.068957,0.07565,0.078095,0.077752,0.079405,0.094207,0.092259,0.096665,0.089719,0.312064,0.266507,0.270459,0.32175,0.346449,0.439358,0.311835,0.352238,0.363446,0.449502,0.421896,0.501285,0.539099,0.5271,0.543716,0.570044,0.628587,0.53697,0.610627,0.629975,1.039017,1.015412,1.007589,1.125282,1.223452,1.281145,1.30009,1.372719,1.431709,1.359672,1.324509,1.281787,1.333855,1.363058,,,,,,
Botswana,BWA,-,total,0,0.126875,0.147203,0.189955,0.254094,0.442589,0.547802,0.798274,0.910783,1.030012,1.173259,1.239341,1.35575,1.413701,1.385082,1.380004,1.477083,1.699894,1.764529,2.119272,2.335249,2.764518,2.797263,3.255561,3.201087,3.031453,3.140163,2.871311,3.019477,3.625087,3.944003,3.976953,3.807669,3.965822,3.856979,3.912474,4.215425,3.965099,4.246309,4.332685,3.902701,3.152783,3.7585,3.37185,5.34098,6.880866,6.845323,6.526482,7.22238,7.938714,7.117387,5.673734,6.079256,6.361085,6.492317,6.675259,,,,,,
Central African Republic,CAF,-,total,0,0.159168,0.153229,0.171257,0.180512,0.197971,0.203867,0.211692,0.213985,0.212477,0.228303,0.213591,0.208567,0.182308,0.181478,0.188084,0.188641,0.189647,0.228151,0.250662,0.248981,0.271399,0.335784,0.333899,0.343298,0.361626,0.37302,0.366283,0.391417,0.407216,0.43331,0.415764,0.451765,0.465519,0.476395,0.488096,0.49699,0.526191,0.550749,0.55787,0.570224,0.553745,0.631201,0.625403,0.349299,0.327966,0.39048,0.351194,0.408727,0.426654,0.464423,0.45219,0.492785,0.509511,0.548019,0.549477,,,,,,
Canada,CAN,-,total,0,337.987327,347.443729,366.661489,385.234254,395.655274,387.393837,399.617995,412.236918,412.500574,427.583611,430.537955,414.339919,396.671942,387.060041,403.355457,404.396206,396.543473,407.80827,438.476357,455.388255,422.310932,415.482606,427.016569,425.217818,442.8892,454.056469,469.443526,484.272477,488.830936,499.312132,519.508054,511.529885,529.257063,552.896477,538.207362,550.552876,541.586817,571.81057,552.804611,525.000986,539.694832,552.980112,550.109545,559.764836,565.394982,559.875564,558.826692,568.77234,581.813334,576.228072,525.12009,532.3645,548.203404,542.153559,548.330428,,,,,,
Switzerland,CHE,-,total,0,40.065346,42.231699,43.05622,46.666294,41.900506,39.176487,40.826996,41.280276,42.105079,40.750101,41.442276,38.805026,36.716507,40.847753,40.414492,43.817619,43.675284,42.172931,42.195901,42.045226,43.285651,45.779205,45.828285,43.654887,42.756677,43.599939,44.256357,43.184083,44.706097,45.10979,44.161265,45.612981,44.020411,45.254856,45.676631,46.189627,45.777435,43.806276,45.30919,44.069874,45.749894,41.786932,43.107355,44.251124,40.414257,39.769217,40.446652,39.467844,38.104762,38.026225,35.602704,37.246772,34.08427,34.228295,34.627856,,,,,,
Chile,CHL,-,total,0,24.739386,23.165409,22.743852,22.024499,21.734462,18.809088,19.631503,20.542578,21.314925,22.75418,23.657865,23.66044,20.263721,20.98831,22.326912,21.709151,22.330528,22.696299,27.456922,33.161133,32.346693,31.236701,32.330797,34.59943,37.609301,41.05623,47.578172,54.631244,55.706966,57.8382,54.029721,52.128331,52.890311,54.235233,59.691546,60.927454,61.185359,69.43221,72.870889,68.535219,75.493437,83.872252,88.52994,87.681914,84.282884,88.506404,92.905607,94.333812,94.687634,101.218404,93.562546,97.986644,99.087229,93.286927,94.542729,,,,,,
China,CHN,-,total,0,686.910467,730.756368,780.125703,815.518009,841.86305,970.407279,1047.934503,1183.699791,1336.690055,1349.37551,1393.372421,1359.121955,1413.560688,1488.734791,1609.411592,1645.1298,1749.148693,1883.09393,2039.159502,2122.834944,2179.387008,2288.775206,2460.166558,2728.986154,2817.765888,3106.212379,3227.866506,3269.901023,3301.912929,3360.11273,3521.590383,3676.061181,3978.92675,4519.225804,5085.08272,5859.873878,6481.675363,7083.944482,7464.873101,7813.911333,8535.392762,9463.304883,9681.971921,9751.07834,9649.771169,9545.14446,9616.412813,9833.380016,10154.669753,10440.352486,10504.689165,10986.894915,10946.896017,11505.677922,11535.923482,,,,,,
China,CHN,Hong Kong,total,0,9.361905,9.506591,9.765548,9.853568,11.313548,11.210326,13.033552,15.159267,16.187732,15.129504,15.616012,16.723962,19.044219,22.391471,24.62981,25.61305,29.34272,29.783746,32.789382,34.093606,34.909305,38.003193,42.325178,43.207871,36.836248,37.456831,35.455587,34.572844,42.519202,45.354236,41.677719,41.718219,40.807052,44.08274,40.417496,42.821275,42.21041,44.175962,43.079899,44.96928,42.296659,45.065848,44.518507,45.802003,47.137615,44.016202,44.864784,43.995386,43.945388,43.433681,34.483427,34.848951,32.463841,34.495072,35.017401,,,,,,
China,CHN,Macao,total,0,0.798941,0.623533,0.604311,0.796783,1.02178,0.859857,0.928363,1.187038,1.021873,1.099997,1.16352,1.164067,1.243029,1.434055,1.541816,1.530354,1.514956,1.583488,1.579755,1.642748,1.346763,1.257585,1.324187,1.376738,1.358745,1.387096,1.434137,1.473454,1.485427,1.445148,1.514802,1.801915,2.046316,2.403214,2.657606,2.681974,2.786463,2.963348,3.223332,3.43856,3.890421,4.66717,5.020324,4.879569,4.882994,4.758489,4.495963,4.468174,4.899967,5.054531,3.472016,3.648755,3.538987,3.648677,3.773127,,,,,,
